Circles			Editing site 		
chr2L	227856	227857	chr2L	227856	227857
chr2L	229824	229825	chr2L	229824	229825
chr2L	3097986	3097987	chr2L	3097986	3097987
chr2L	14196162	14196163	chr2L	14196162	14196163
chr2L	8224281	8224282	chr2L	8224281	8224282
chr2L	8225347	8225348	chr2L	8225347	8225348
chr2L	9234315	9234316	chr2L	9234315	9234316
chr2L	9234363	9234364	chr2L	9234363	9234364
chr2L	2809526	2809527	chr2L	2809526	2809527
chr2L	3097986	3097987	chr2L	3097986	3097987
chr2L	2708685	2708686	chr2L	2708685	2708686
chr2L	3097986	3097987	chr2L	3097986	3097987
chr2L	1653716	1653717	chr2L	1653716	1653717
chr2L	9556245	9556246	chr2L	9556245	9556246
chr2L	9733349	9733350	chr2L	9733349	9733350
chr2L	9733501	9733502	chr2L	9733501	9733502
chr2L	8224281	8224282	chr2L	8224281	8224282
chr2L	8225347	8225348	chr2L	8225347	8225348
chr2L	3080774	3080775	chr2L	3080774	3080775
chr2L	12539627	12539628	chr2L	12539627	12539628
chr2L	12537825	12537826	chr2L	12537825	12537826
chr2L	12351900	12351901	chr2L	12351900	12351901
chr2L	14062529	14062530	chr2L	14062529	14062530
chr2L	16903370	16903371	chr2L	16903370	16903371
chr2L	4192659	4192660	chr2L	4192659	4192660
chr2L	9234315	9234316	chr2L	9234315	9234316
chr2L	9234363	9234364	chr2L	9234363	9234364
chr2L	2870854	2870855	chr2L	2870854	2870855
chr2L	4192659	4192660	chr2L	4192659	4192660
chr2L	22125331	22125332	chr2L	22125331	22125332
chr2L	22132942	22132943	chr2L	22132942	22132943
chr2L	22132927	22132928	chr2L	22132927	22132928
chr2L	22125352	22125353	chr2L	22125352	22125353
chr2L	22125353	22125354	chr2L	22125353	22125354
chr2L	22125359	22125360	chr2L	22125359	22125360
chr2L	22125341	22125342	chr2L	22125341	22125342
chr2L	21712536	21712537	chr2L	21712536	21712537
chr2L	1653716	1653717	chr2L	1653716	1653717
chr2L	11835155	11835156	chr2L	11835155	11835156
chr2L	12351900	12351901	chr2L	12351900	12351901
chr2L	12351900	12351901	chr2L	12351900	12351901
chr2L	13305211	13305212	chr2L	13305211	13305212
chr2L	13305205	13305206	chr2L	13305205	13305206
chr2L	11835155	11835156	chr2L	11835155	11835156
chr2L	8131881	8131882	chr2L	8131881	8131882
chr2L	9877206	9877207	chr2L	9877206	9877207
chr2L	21712536	21712537	chr2L	21712536	21712537
chr2L	4312814	4312815	chr2L	4312814	4312815
chr2L	4312802	4312803	chr2L	4312802	4312803
chr2L	4314586	4314587	chr2L	4314586	4314587
chr2L	4314575	4314576	chr2L	4314575	4314576
chr2L	4314576	4314577	chr2L	4314576	4314577
chr2L	16622443	16622444	chr2L	16622443	16622444
chr2L	2790953	2790954	chr2L	2790953	2790954
chr2L	2788306	2788307	chr2L	2788306	2788307
chr2L	2785542	2785543	chr2L	2785542	2785543
chr2L	2790826	2790827	chr2L	2790826	2790827
chr2L	2785610	2785611	chr2L	2785610	2785611
chr2L	2785621	2785622	chr2L	2785621	2785622
chr2L	2786034	2786035	chr2L	2786034	2786035
chr2L	2790950	2790951	chr2L	2790950	2790951
chr2L	2790952	2790953	chr2L	2790952	2790953
chr2L	16622443	16622444	chr2L	16622443	16622444
chr2L	8414390	8414391	chr2L	8414390	8414391
chr2L	227856	227857	chr2L	227856	227857
chr2L	229824	229825	chr2L	229824	229825
chr2L	4306987	4306988	chr2L	4306987	4306988
chr2L	4305020	4305021	chr2L	4305020	4305021
chr2L	4308806	4308807	chr2L	4308806	4308807
chr2L	17395909	17395910	chr2L	17395909	17395910
chr2L	8414390	8414391	chr2L	8414390	8414391
chr2L	1653716	1653717	chr2L	1653716	1653717
chr2L	7230012	7230013	chr2L	7230012	7230013
chr2L	7228779	7228780	chr2L	7228779	7228780
chr2L	21689440	21689441	chr2L	21689440	21689441
chr2L	9556245	9556246	chr2L	9556245	9556246
chr2L	2995807	2995808	chr2L	2995807	2995808
chr2L	21689440	21689441	chr2L	21689440	21689441
chr2L	229824	229825	chr2L	229824	229825
chr2L	13189312	13189313	chr2L	13189312	13189313
chr2L	14082057	14082058	chr2L	14082057	14082058
chr2L	14082413	14082414	chr2L	14082413	14082414
chr2L	14083517	14083518	chr2L	14083517	14083518
chr2L	14083516	14083517	chr2L	14083516	14083517
chr2L	14081991	14081992	chr2L	14081991	14081992
chr2L	9234315	9234316	chr2L	9234315	9234316
chr2L	9234363	9234364	chr2L	9234363	9234364
chr2L	1852226	1852227	chr2L	1852226	1852227
chr2L	1852176	1852177	chr2L	1852176	1852177
chr2L	1852373	1852374	chr2L	1852373	1852374
chr2L	1852227	1852228	chr2L	1852227	1852228
chr2L	1852225	1852226	chr2L	1852225	1852226
chr2L	19642585	19642586	chr2L	19642585	19642586
chr2L	12539627	12539628	chr2L	12539627	12539628
chr2L	12537825	12537826	chr2L	12537825	12537826
chr2L	8224281	8224282	chr2L	8224281	8224282
chr2L	8225347	8225348	chr2L	8225347	8225348
chr2L	8178242	8178243	chr2L	8178242	8178243
chr2L	8178183	8178184	chr2L	8178183	8178184
chr2L	8177946	8177947	chr2L	8177946	8177947
chr2L	8177947	8177948	chr2L	8177947	8177948
chr2L	14913694	14913695	chr2L	14913694	14913695
chr2L	3089899	3089900	chr2L	3089899	3089900
chr2L	3080774	3080775	chr2L	3080774	3080775
chr2L	12498711	12498712	chr2L	12498711	12498712
chr2L	12498708	12498709	chr2L	12498708	12498709
chr2L	12502230	12502231	chr2L	12502230	12502231
chr2L	12501470	12501471	chr2L	12501470	12501471
chr2L	12503135	12503136	chr2L	12503135	12503136
chr2L	12501464	12501465	chr2L	12501464	12501465
chr2L	12501462	12501463	chr2L	12501462	12501463
chr2L	12501466	12501467	chr2L	12501466	12501467
chr2L	12501908	12501909	chr2L	12501908	12501909
chr2L	12498711	12498712	chr2L	12498711	12498712
chr2L	12498708	12498709	chr2L	12498708	12498709
chr2L	12502230	12502231	chr2L	12502230	12502231
chr2L	12501470	12501471	chr2L	12501470	12501471
